Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,67299.000000,67299.000000,66500.351563,66801.203125,66330.242188,4193
2019-01-02,66500.000000,67100.000000,66150.703125,66635.500000,66165.695313,7531
2019-01-03,66750.000000,67400.000000,66458.703125,66818.250000,66347.171875,4603
2019-01-04,66999.703125,67349.898438,66201.046875,66603.148438,66133.578125,4278
2019-01-07,67100.000000,67345.898438,66666.148438,66978.546875,66506.328125,6823
2019-01-08,66700.000000,66976.000000,66226.000000,66439.898438,65971.468750,2284
2019-01-09,66501.000000,66999.000000,65820.453125,66070.351563,65604.539063,4369
2019-01-10,66249.000000,67094.953125,65909.000000,66700.703125,66230.453125,4018
2019-01-11,66898.898438,67000.000000,66300.000000,66937.250000,66465.304688,2580
2019-01-14,66600.000000,66996.953125,65955.898438,66653.046875,66183.117188,5052
2019-01-15,66650.000000,66989.953125,66077.000000,66195.601563,65728.890625,3863
2019-01-16,66220.000000,66485.703125,65900.000000,65991.203125,65525.921875,3514
2019-01-17,66291.000000,66291.000000,65600.000000,65802.796875,65338.867188,3530
2019-01-18,66005.000000,66098.203125,65650.000000,65739.796875,65276.316406,1613
2019-01-21,65739.796875,66298.953125,65501.000000,66126.101563,65659.914063,8009
2019-01-22,65900.000000,66166.851563,65100.000000,65259.601563,64799.503906,4697
2019-01-23,65378.000000,66289.953125,65300.000000,66072.046875,65606.218750,3086
2019-01-24,66000.000000,66188.398438,64500.000000,64902.750000,64445.171875,4134
2019-01-25,65300.000000,65533.300781,63700.000000,63920.949219,63470.281250,3105
2019-01-28,63875.000000,63875.000000,62450.000000,62559.949219,62118.882813,4488
2019-01-29,62830.000000,62830.000000,61500.000000,61868.148438,61431.964844,8712
2019-01-30,62384.000000,62384.000000,61150.000000,61329.398438,60897.003906,6589
2019-01-31,61500.000000,61767.601563,60540.148438,61289.199219,60857.097656,7598
2019-02-01,61489.199219,62699.898438,61012.101563,61275.699219,60843.687500,7551
2019-02-04,61944.000000,61944.000000,59800.000000,59906.550781,59484.183594,7858
2019-02-05,60299.000000,60400.000000,59500.000000,60004.300781,59581.250000,6603
2019-02-06,60300.000000,60300.000000,59550.000000,59936.000000,59513.433594,5305
2019-02-07,60035.000000,60800.000000,58960.050781,59410.550781,58991.699219,22636
2019-02-08,59188.949219,59188.949219,56300.000000,56451.351563,56053.355469,24277
2019-02-11,56450.000000,56900.000000,54725.000000,55345.601563,54955.402344,14323
2019-02-12,55750.000000,56178.000000,54900.000000,55355.398438,54965.132813,10994
2019-02-14,55600.000000,56600.000000,55315.000000,56302.199219,55905.253906,8943
2019-02-15,56302.000000,56408.300781,55000.000000,55136.851563,54751.039063,12188
2019-02-18,55248.000000,55499.000000,54254.199219,54460.148438,54079.062500,5980
2019-02-19,54480.148438,55403.949219,53858.351563,54227.898438,53848.449219,10536
2019-02-20,54529.898438,54970.000000,54125.000000,54793.199219,54409.792969,6031
2019-02-21,54829.000000,55250.000000,54505.000000,54710.648438,54327.820313,3891
2019-02-22,54720.000000,55150.000000,54553.500000,54960.800781,54576.230469,4411
2019-02-25,55468.000000,55468.000000,54855.000000,55340.148438,54952.917969,4311
2019-02-26,55140.148438,56387.101563,54400.000000,55952.898438,55561.378906,5776
2019-02-27,56400.000000,57266.000000,56152.898438,56862.750000,56464.863281,11007
2019-02-28,57390.000000,57400.000000,56572.000000,56839.550781,56441.832031,12341
2019-03-01,56907.000000,57400.000000,56907.000000,57129.101563,56729.339844,4094
2019-03-05,57397.000000,58000.000000,57218.500000,57663.250000,57259.765625,8410
2019-03-06,58040.000000,58790.000000,57555.000000,58566.398438,58156.585938,7261
2019-03-07,58570.000000,58594.851563,57645.101563,57839.750000,57435.023438,4062
2019-03-08,58000.000000,58000.000000,56830.000000,57026.601563,56627.566406,6779
2019-03-11,57040.000000,57980.148438,57040.000000,57708.300781,57304.492188,5144
2019-03-12,58100.000000,58253.648438,56801.000000,57171.000000,56770.957031,13277
2019-03-13,57800.000000,58000.000000,57200.000000,57414.601563,57012.851563,8933
2019-03-14,57990.000000,57990.000000,57001.000000,57161.449219,56761.472656,10389
2019-03-15,57200.000000,58000.000000,56911.000000,57609.500000,57206.386719,8692
2019-03-18,57998.000000,57998.000000,57244.000000,57433.750000,57031.867188,5722
2019-03-19,57688.949219,57688.949219,57020.000000,57444.250000,57042.289063,2978
2019-03-20,57400.000000,57400.000000,56800.000000,56976.601563,56577.910156,4821
2019-03-22,57000.000000,57299.000000,56175.550781,56547.750000,56152.070313,5278
2019-03-25,56310.000000,56320.000000,55895.148438,56006.250000,55614.347656,3193
2019-03-26,56399.000000,56399.000000,56050.000000,56180.148438,55787.027344,5182
2019-03-27,56350.000000,56885.000000,56200.000000,56585.148438,56189.203125,7145
2019-03-28,56740.000000,56849.898438,56100.050781,56296.949219,55903.019531,5142
2019-04-01,58150.000000,60689.949219,58000.000000,60163.851563,59742.855469,15675
2019-04-02,60250.000000,61684.000000,60200.000000,60390.101563,59967.531250,13292
2019-04-03,60480.000000,60830.000000,59600.000000,60040.199219,59620.070313,7111
2019-04-04,60262.000000,60498.898438,59750.050781,60003.148438,59583.289063,6488
2019-04-05,60003.148438,60400.000000,59901.351563,60259.199219,59837.539063,4012
2019-04-08,60554.000000,60554.000000,58573.050781,58921.300781,58509.015625,4676
2019-04-09,59199.000000,59350.000000,57500.000000,57641.199219,57237.863281,8355
2019-04-10,57800.000000,58450.000000,57300.000000,57491.750000,57089.460938,7299
2019-04-11,57600.000000,57991.000000,57304.050781,57468.898438,57066.773438,3874
2019-04-12,57500.000000,58599.000000,57500.000000,58515.750000,58106.296875,4869
2019-04-15,59000.000000,59044.750000,58028.199219,58147.898438,57741.015625,4502
2019-04-16,58269.000000,58540.000000,57950.101563,58056.101563,57649.863281,3320
2019-04-18,58203.000000,58400.101563,57526.101563,57812.199219,57407.675781,4303
2019-04-22,57650.000000,57747.101563,56384.398438,56595.148438,56199.132813,3745
2019-04-23,57085.000000,57085.000000,56400.000000,56564.449219,56168.648438,3363
2019-04-24,56600.000000,56800.000000,55555.000000,55642.398438,55253.050781,5419
2019-04-25,56049.000000,56192.949219,55300.000000,55420.898438,55033.093750,5110
2019-04-26,55750.000000,55839.750000,54250.000000,54410.050781,54029.316406,11658
2019-04-30,54410.050781,54589.750000,52500.000000,52905.000000,52534.808594,9371
2019-05-02,52605.000000,53690.000000,51586.300781,52424.851563,52058.015625,26249
2019-05-03,52500.000000,53400.000000,52500.000000,53110.898438,52739.261719,12837
2019-05-06,53110.898438,53990.000000,52706.000000,53817.851563,53441.265625,11787
2019-05-07,54000.000000,54650.000000,52666.300781,52944.648438,52574.175781,5985
2019-05-08,53049.000000,54500.000000,53000.000000,54117.750000,53739.066406,12180
